merchant_name,keyword,merchant_name_created_at,keyword_updated_at
13cabs,13 CABS,2026-07-06T01:32:02+00:00,2026-07-06T01:32:02+00:00
13cabs,13Cabs,2026-07-03T09:40:31+00:00,2026-07-03T09:40:31+00:00
21Laps Performance Training,21LAPS PERFORMANCE,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
21Laps Performance Training,21Laps Performance Training,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
7-Eleven,7-Eleven,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
7-Eleven,7eleven,2026-07-06T01:34:08+00:00,2026-07-06T01:34:08+00:00
7-Eleven,SEVEN-ELEVEN,2026-07-06T01:32:01+00:00,2026-07-06T01:32:01+00:00
AAMI,AAMI,2026-07-06T05:53:32+00:00,2026-07-06T05:53:32+00:00
ADENCO,ADENCO,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
AFF Holdco Pty Ltd,AFF Holdco,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
AFF Holdco Pty Ltd,AFF Holdco Pty Ltd,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
AGL,AGL,2026-07-06T03:54:42+00:00,2026-07-06T03:54:42+00:00
AGL,AGL ENERGY,2026-07-06T03:50:20+00:00,2026-07-06T03:50:20+00:00
AGL,AGL SALES,2026-07-06T03:55:13+00:00,2026-07-06T03:55:13+00:00
AHS Hospitality,AHS Hospitality,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
ALDI,ALDI,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
ALDI,ALDI STORES,2026-07-06T01:32:00+00:00,2026-07-06T01:32:00+00:00
ALH Group,Www.Alhgroup.Com*,2026-07-03T09:32:09+00:00,2026-07-03T09:32:09+00:00
ALH Hotels,ALH GROUP,2026-07-06T01:32:02+00:00,2026-07-06T01:32:02+00:00
ALH Hotels,ALH Hotels,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
ALH Hotels,ALH VENUES,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
ALH Hotels,ALH VENUES/DAVID LOW W,2026-07-03T07:57:13+00:00,2026-07-03T07:57:13+00:00
Accessability WA,Accessability WA,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
ActewAGL,ActewAGL,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
ActewAGL,ActewAGL Retail,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
Adairs,ADAIRS,2026-07-06T06:20:33+00:00,2026-07-06T06:20:33+00:00
Adobe,ADOBE,2026-07-06T05:54:59+00:00,2026-07-06T05:54:59+00:00
Afterpay,afterpay,2026-07-06T05:32:53+00:00,2026-07-06T05:32:53+00:00
Agoda,AGODA,2026-07-06T07:16:08+00:00,2026-07-06T07:16:08+00:00
Ailo Pay Pty Ltd,Ailo,2026-07-03T09:44:55+00:00,2026-07-03T09:44:55+00:00
Airbnb,AIRBNB,2026-07-06T06:54:06+00:00,2026-07-06T06:54:06+00:00
Alinta Energy,ALINTA,2026-07-06T03:53:03+00:00,2026-07-06T03:53:03+00:00
Alinta Energy,Alinta Energy,2026-07-06T03:50:42+00:00,2026-07-06T03:50:42+00:00
Allianz Australia,Allianz,2026-07-06T09:01:44+00:00,2026-07-06T09:01:44+00:00
Amazon,Amazon Prime,2026-07-06T02:26:20+00:00,2026-07-06T02:26:20+00:00
Amazon AU Retail,AMAZON AU RETAIL,2026-07-03T08:01:41+00:00,2026-07-03T08:01:41+00:00
Amazon Australia,Amazon,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
Amazon Australia,Amazon Australia,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
Amazon Australia,amazon.com.au,2026-07-06T02:24:47+00:00,2026-07-06T02:24:47+00:00
Amcal,AMCAL,2026-07-06T05:42:17+00:00,2026-07-06T05:42:17+00:00
Ampol,AMPOL,2026-07-03T09:45:49+00:00,2026-07-03T09:45:49+00:00
Ampol,AMPOL FOODARY,2026-07-06T01:34:21+00:00,2026-07-06T01:34:21+00:00
Ampol,FOODARY,2026-07-06T01:34:21+00:00,2026-07-06T01:34:21+00:00
Anaconda,ANACONDA,2026-07-06T05:40:58+00:00,2026-07-06T05:40:58+00:00
Anita Gelato,Ls Anita Gelato,2026-07-03T08:59:51+00:00,2026-07-03T08:59:51+00:00
Anytime Fitness,Anytime Fitness,2026-07-06T02:28:09+00:00,2026-07-06T02:28:09+00:00
Anytime Fitness Australia,Anytime Fitness Australia,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
Apple,APPLE STORE,2026-07-06T01:34:21+00:00,2026-07-06T01:34:21+00:00
Apple,APPLE.COM/BILL,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
Apple,Apple,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
Apple,Apple.Com,2026-07-06T01:32:35+00:00,2026-07-06T01:32:35+00:00
Apple,Apple.Com/Bi,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
Applus RTD Pty Ltd,Applus RTD,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
Applus RTD Pty Ltd,Applus RTD Pty Ltd,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
Audible,Audible,2026-07-06T07:18:09+00:00,2026-07-06T07:18:09+00:00
Aurora Energy,Aurora Energy,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
Aussie Broadband,Aussie Broadband,2026-07-06T06:19:56+00:00,2026-07-06T06:19:56+00:00
